"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상"
"서울특별시  (1100000000)","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792","4,701,723","4,701,723","320,275","401,285","707,669","737,901","756,950","748,582","587,294","320,416","108,339","11,221","1,791","4,966,742","4,966,742","303,470","380,581","752,742","737,205","771,232","774,974","656,660","383,660","169,755","31,462","5,001"
"서울특별시 종로구 (1111000000)","149,384","149,384","7,527","11,013","23,416","19,943","22,231","25,459","19,948","12,500","5,978","1,093","276","72,635","72,635","3,803","5,495","11,505","9,910","10,834","12,784","9,903","5,518","2,415","371","97","76,749","76,749","3,724","5,518","11,911","10,033","11,397","12,675","10,045","6,982","3,563","722","179"
"서울특별시 종로구 청운효자동(1111051500)","12,431","12,431","827","1,165","1,596","1,694","2,151","1,976","1,388","1,010","529","75","20","5,779","5,779","431","615","793","779","969","918","618","404","222","27","3","6,652","6,652","396","550","803","915","1,182","1,058","770","606","307","48","17"
"서울특별시 종로구 사직동(1111053000)","9,526","9,526","579","692","1,237","1,441","1,478","1,560","1,195","768","462","93","21","4,264","4,264","291","311","567","616","661","699","557","322","199","35","6","5,262","5,262","288","381","670","825","817","861","638","446","263","58","15"
"서울특별시 종로구 삼청동(1111054000)","2,640","2,640","105","191","320","359","369","417","413","281","149","30","6","1,272","1,272","47","111","170","176","178","207","190","132","47","13","1","1,368","1,368","58","80","150","183","191","210","223","149","102","17","5"
"서울특별시 종로구 부암동(1111055000)","10,022","10,022","553","927","1,340","1,239","1,630","1,725","1,320","806","392","78","12","4,772","4,772","275","504","692","589","757","782","624","359","163","23","4","5,250","5,250","278","423","648","650","873","943","696","447","229","55","8"
"서울특별시 종로구 평창동(1111056000)","18,391","18,391","1,170","1,645","2,451","2,236","2,763","3,267","2,512","1,386","772","166","23","8,550","8,550","607","819","1,247","1,033","1,221","1,474","1,193","604","302","42","8","9,841","9,841","563","826","1,204","1,203","1,542","1,793","1,319","782","470","124","15"
"서울특별시 종로구 무악동(1111057000)","8,546","8,546","694","1,014","936","943","1,505","1,419","1,003","650","311","52","19","3,979","3,979","314","466","431","428","709","744","458","265","134","16","14","4,567","4,567","380","548","505","515","796","675","545","385","177","36","5"
"서울특별시 종로구 교남동(1111058000)","10,477","10,477","859","861","1,277","1,708","1,850","1,623","1,159","746","325","54","15","4,848","4,848","438","405","607","790","872","780","513","296","127","15","5","5,629","5,629","421","456","670","918","978","843","646","450","198","39","10"
"서울특별시 종로구 가회동(1111060000)","4,325","4,325","201","343","495","572","768","685","588","436","189","38","10","2,000","2,000","100","189","231","265","364","315","271","176","78","7","4","2,325","2,325","101","154","264","307","404","370","317","260","111","31","6"
