"행정구역","2013년_계_총인구수","2013년_계_연령구간인구수","2013년_계_0~9세","2013년_계_10~19세","2013년_계_20~29세","2013년_계_30~39세","2013년_계_40~49세","2013년_계_50~59세","2013년_계_60~69세","2013년_계_70~79세","2013년_계_80~89세","2013년_계_90~99세","2013년_계_100세 이상","2013년_남_총인구수","2013년_남_연령구간인구수","2013년_남_0~9세","2013년_남_10~19세","2013년_남_20~29세","2013년_남_30~39세","2013년_남_40~49세","2013년_남_50~59세","2013년_남_60~69세","2013년_남_70~79세","2013년_남_80~89세","2013년_남_90~99세","2013년_남_100세 이상","2013년_여_총인구수","2013년_여_연령구간인구수","2013년_여_0~9세","2013년_여_10~19세","2013년_여_20~29세","2013년_여_30~39세","2013년_여_40~49세","2013년_여_50~59세","2013년_여_60~69세","2013년_여_70~79세","2013년_여_80~89세","2013년_여_90~99세","2013년_여_100세 이상"
"서울특별시  (1100000000)","10,143,645","10,143,645","808,737","1,095,810","1,459,843","1,763,451","1,738,953","1,593,805","940,935","546,449","164,308","27,088","4,266","5,007,869","5,007,869","415,562","570,811","729,035","889,687","869,875","773,936","449,784","247,857","53,093","7,136","1,093","5,135,776","5,135,776","393,175","524,999","730,808","873,764","869,078","819,869","491,151","298,592","111,215","19,952","3,173"
"서울특별시 종로구 (1111000000)","160,070","160,070","9,770","16,583","23,445","23,589","28,156","26,013","16,208","11,605","3,764","763","174","79,519","79,519","5,079","8,659","11,964","11,951","14,024","13,188","7,646","5,312","1,373","267","56","80,551","80,551","4,691","7,924","11,481","11,638","14,132","12,825","8,562","6,293","2,391","496","118"
"서울특별시 종로구 청운효자동(1111051500)","14,570","14,570","1,133","1,959","1,768","2,223","2,717","2,026","1,287","1,047","336","63","11","6,971","6,971","618","1,078","895","987","1,242","1,013","542","460","121","13","2","7,599","7,599","515","881","873","1,236","1,475","1,013","745","587","215","50","9"
"서울특별시 종로구 사직동(1111053000)","9,875","9,875","751","871","1,283","1,587","1,664","1,574","1,009","791","277","54","14","4,609","4,609","408","407","590","740","791","745","447","350","112","17","2","5,266","5,266","343","464","693","847","873","829","562","441","165","37","12"
"서울특별시 종로구 삼청동(1111054000)","3,218","3,218","183","294","369","481","498","551","390","287","132","29","4","1,557","1,557","92","158","186","242","250","255","180","125","54","14","1","1,661","1,661","91","136","183","239","248","296","210","162","78","15","3"
"서울특별시 종로구 부암동(1111055000)","11,109","11,109","665","1,501","1,490","1,421","2,031","1,783","1,055","830","276","51","6","5,464","5,464","348","844","780","696","928","852","497","397","103","18","1","5,645","5,645","317","657","710","725","1,103","931","558","433","173","33","5"
"서울특별시 종로구 평창동(1111056000)","19,544","19,544","1,271","2,406","2,753","2,461","3,511","3,356","1,861","1,260","525","123","17","9,315","9,315","670","1,279","1,446","1,134","1,559","1,564","869","585","174","27","8","10,229","10,229","601","1,127","1,307","1,327","1,952","1,792","992","675","351","96","9"
"서울특별시 종로구 무악동(1111057000)","8,581","8,581","777","1,080","972","1,131","1,657","1,372","753","595","201","34","9","4,091","4,091","387","497","466","552","818","670","348","260","72","15","6","4,490","4,490","390","583","506","579","839","702","405","335","129","19","3"
"서울특별시 종로구 교남동(1111058000)","5,347","5,347","320","536","666","853","947","871","587","427","107","21","12","2,640","2,640","162","276","314","449","517","438","245","191","37","6","5","2,707","2,707","158","260","352","404","430","433","342","236","70","15","7"
"서울특별시 종로구 가회동(1111060000)","5,219","5,219","288","563","619","815","977","774","589","418","142","29","5","2,444","2,444","137","291","290","391","490","340","263","184","45","13","0","2,775","2,775","151","272","329","424","487","434","326","234","97","16","5"
