"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상"
"대구광역시 달성군 유가면(2771037000)","26,604","26,604","5,302","2,450","2,393","6,848","4,426","2,544","1,607","684","317","31","2","13,442","13,442","2,718","1,265","1,280","3,384","2,398","1,229","793","285","80","9","1","13,162","13,162","2,584","1,185","1,113","3,464","2,028","1,315","814","399","237","22","1"
"대구광역시 달성군 구지면(2771038000)","8,480","8,480","1,026","435","913","1,704","1,166","1,151","994","682","370","37","2","4,509","4,509","513","223","532","1,005","734","620","502","262","111","7","0","3,971","3,971","513","212","381","699","432","531","492","420","259","30","2"
"인천광역시  (2800000000)","2,948,542","2,948,542","259,925","301,563","409,811","439,665","506,584","507,101","293,572","156,769","63,429","9,332","791","1,479,597","1,479,597","133,221","155,803","213,945","226,364","256,938","255,674","145,663","69,162","20,515","2,120","192","1,468,945","1,468,945","126,704","145,760","195,866","213,301","249,646","251,427","147,909","87,607","42,914","7,212","599"
"인천광역시 중구 (2811000000)","117,999","117,999","10,870","11,536","14,045","18,366","21,446","17,473","13,012","7,848","2,835","508","60","61,344","61,344","5,493","6,045","7,435","9,836","11,860","9,522","6,386","3,611","993","145","18","56,655","56,655","5,377","5,491","6,610","8,530","9,586","7,951","6,626","4,237","1,842","363","42"
"인천광역시 중구 연안동(2811052000)","7,138","7,138","342","493","780","827","1,115","1,487","1,168","615","254","52","5","3,819","3,819","171","240","453","482","653","831","610","280","83","15","1","3,319","3,319","171","253","327","345","462","656","558","335","171","37","4"
"인천광역시 중구 신포동(2811053000)","5,647","5,647","286","430","592","665","944","972","840","580","279","56","3","2,830","2,830","155","207","316","370","501","521","389","250","102","19","0","2,817","2,817","131","223","276","295","443","451","451","330","177","37","3"
"인천광역시 중구 신흥동(2811054000)","14,204","14,204","1,114","1,254","1,672","2,073","2,243","2,406","1,845","1,137","392","63","5","7,217","7,217","546","685","880","1,088","1,195","1,253","907","509","137","16","1","6,987","6,987","568","569","792","985","1,048","1,153","938","628","255","47","4"
"인천광역시 중구 도원동(2811056000)","4,557","4,557","229","416","487","527","731","782","730","468","163","21","3","2,328","2,328","107","231","264","297","385","416","348","214","56","10","0","2,229","2,229","122","185","223","230","346","366","382","254","107","11","3"
"인천광역시 중구 율목동(2811057000)","3,926","3,926","187","268","428","488","627","746","621","387","143","28","3","2,054","2,054","92","141","230","286","353","423","301","173","51","4","0","1,872","1,872","95","127","198","202","274","323","320","214","92","24","3"
"인천광역시 중구 동인천동(2811058500)","6,235","6,235","263","376","735","728","909","1,201","1,021","658","276","62","6","3,304","3,304","132","205","415","432","520","687","506","296","90","18","3","2,931","2,931","131","171","320","296","389","514","515","362","186","44","3"
