"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~9세","2016년_남_10~19세","2016년_남_20~29세","2016년_남_30~39세","2016년_남_40~49세","2016년_남_50~59세","2016년_남_60~69세","2016년_남_70~79세","2016년_남_80~89세","2016년_남_90~99세","2016년_남_100세 이상","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~9세","2016년_여_10~19세","2016년_여_20~29세","2016년_여_30~39세","2016년_여_40~49세","2016년_여_50~59세","2016년_여_60~69세","2016년_여_70~79세","2016년_여_80~89세","2016년_여_90~99세","2016년_여_100세 이상"
"서울특별시  (1100000000)","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475","4,876,789","4,876,789","390,234","482,451","719,783","812,434","834,115","768,802","510,048","275,842","73,628","8,046","1,406","5,053,827","5,053,827","371,080","451,754","722,918","808,540","844,057","801,235","566,222","326,699","134,088","23,165","4,069"
"서울특별시 종로구 (1111000000)","152,737","152,737","9,039","13,546","23,270","21,063","25,422","25,323","17,535","11,899","4,584","836","220","75,201","75,201","4,632","6,961","11,801","10,421","12,516","12,937","8,449","5,320","1,795","296","73","77,536","77,536","4,407","6,585","11,469","10,642","12,906","12,386","9,086","6,579","2,789","540","147"
"서울특별시 종로구 청운효자동(1111051500)","13,769","13,769","1,108","1,526","1,769","2,044","2,520","1,984","1,300","1,035","393","71","19","6,503","6,503","600","820","886","931","1,114","983","543","430","168","24","4","7,266","7,266","508","706","883","1,113","1,406","1,001","757","605","225","47","15"
"서울특별시 종로구 사직동(1111053000)","9,695","9,695","785","794","1,169","1,454","1,656","1,511","1,079","794","364","71","18","4,429","4,429","419","383","533","629","753","695","477","357","156","24","3","5,266","5,266","366","411","636","825","903","816","602","437","208","47","15"
"서울특별시 종로구 삼청동(1111054000)","2,903","2,903","156","235","335","421","426","484","402","275","138","25","6","1,377","1,377","77","129","161","201","214","216","198","112","55","13","1","1,526","1,526","79","106","174","220","212","268","204","163","83","12","5"
"서울특별시 종로구 부암동(1111055000)","10,616","10,616","632","1,139","1,457","1,331","1,875","1,722","1,226","811","348","68","7","5,160","5,160","342","592","826","626","844","807","575","383","140","23","2","5,456","5,456","290","547","631","705","1,031","915","651","428","208","45","5"
"서울특별시 종로구 평창동(1111056000)","19,290","19,290","1,301","2,084","2,748","2,361","3,246","3,347","2,068","1,355","623","134","23","9,140","9,140","669","1,096","1,446","1,087","1,414","1,579","1,002","575","237","28","7","10,150","10,150","632","988","1,302","1,274","1,832","1,768","1,066","780","386","106","16"
"서울특별시 종로구 무악동(1111057000)","8,453","8,453","755","1,025","957","1,026","1,648","1,358","849","567","228","27","13","3,975","3,975","350","480","452","476","825","663","386","235","89","10","9","4,478","4,478","405","545","505","550","823","695","463","332","139","17","4"
"서울특별시 종로구 교남동(1111058000)","4,679","4,679","250","408","608","623","856","726","603","431","133","27","14","2,229","2,229","123","215","293","310","432","363","245","189","45","8","6","2,450","2,450","127","193","315","313","424","363","358","242","88","19","8"
"서울특별시 종로구 가회동(1111060000)","4,635","4,635","263","417","538","704","841","702","567","413","156","27","7","2,150","2,150","123","216","241","341","403","332","256","169","60","7","2","2,485","2,485","140","201","297","363","438","370","311","244","96","20","5"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,741","7,741","272","322","968","919","1,091","1,601","1,327","808","314","90","29","4,513","4,513","157","143","481","518","701","1,077","803","451","128","45","9","3,228","3,228","115","179","487","401","390","524","524","357","186","45","20"
"서울특별시 종로구 종로5.6가동(1111063000)","5,496","5,496","156","397","914","651","848","1,044","747","522","178","34","5","3,035","3,035","74","217","529","392","489","594","387","267","65","19","2","2,461","2,461","82","180","385","259","359","450","360","255","113","15","3"
"서울특별시 종로구 이화동(1111064000)","8,436","8,436","392","615","1,757","1,452","1,272","1,188","885","594","230","40","11","3,968","3,968","195","309","779","716","619","591","410","252","84","10","3","4,468","4,468","197","306","978","736","653","597","475","342","146","30","8"
"서울특별시 종로구 혜화동(1111065000)","17,735","17,735","980","1,601","4,274","2,548","2,702","2,267","1,542","1,271","474","60","16","8,665","8,665","475","804","2,263","1,275","1,335","1,099","684","524","181","19","6","9,070","9,070","505","797","2,011","1,273","1,367","1,168","858","747","293","41","10"
