"행정구역별(1)",행정구역별(2),2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"행정구역별(1)",행정구역별(2),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명)
"서울특별시",마포구,11.4,44027,384644,11.9,45508,381856,12.2,47096,385439,12.5,48348,387643,12.7,48060,379892,13.2,49356,374915,13.5,50544,375077,13.9,52104,374035,14.5,54002,371890,14.7,54231,368905,15.2,55533,364638,15.8,57504,363697
"서울특별시",양천구,8.7,43392,495911,9.3,45896,492528,9.9,48068,486221,10.4,50282,484532,10.9,51957,477739,11.7,55136,471154,12.5,57941,464185,13.3,61147,458165,14.4,65541,454251,15.3,68483,447302,16.4,72235,440881,17.5,76126,436028
"서울특별시",강서구,9.8,55641,567431,10.4,59330,569070,11.0,64117,585160,11.5,67792,589074,11.9,70889,595485,12.6,75845,601691,13.3,79445,596949,14.2,83839,591796,15.3,88733,580185,16.1,92336,574315,17.0,96880,569166,18.1,101808,563058
"서울특별시",구로구,10.4,44579,427520,11.1,47367,424964,11.9,50615,425831,12.6,53146,422092,13.2,55159,417551,14.2,58213,410742,15.1,61105,404497,16.0,64932,406664,17.1,69201,404408,18.0,71445,396754,18.8,74491,395315,20.0,78377,392405
"서울특별시",금천구,10.9,26476,243288,11.6,27948,241020,12.3,29243,238463,13.0,30745,236284,13.6,31976,235386,14.4,33842,235154,15.1,35354,233917,16.0,37196,232810,17.0,39314,231733,17.5,40442,230811,18.4,42226,229642,19.6,44531,227481
"서울특별시",영등포구,11.6,45417,391408,12.2,47258,386471,12.9,49184,382352,13.4,50839,378504,13.8,51186,370613,14.5,53299,368550,14.9,54906,367778,15.5,56957,367678,16.0,60663,379480,16.3,61295,376837,16.9,63349,375675,17.6,65843,374794
"서울특별시",동작구,11.6,47007,405491,12.1,49863,410815,12.8,52147,407470,13.3,53425,400641,13.7,55052,400997,14.4,57071,396217,15.0,59265,396203,15.7,61994,395963,16.6,64928,391220,17.2,66320,385483,17.8,67872,380596,18.5,70089,378769
"서울특별시",관악구,10.8,56238,523029,11.5,59333,518028,12.1,62251,513186,12.7,64677,509663,13.2,66659,506851,13.9,69729,503297,14.3,71888,501957,15.0,74787,500094,15.8,78430,495060,16.3,79371,485699,16.8,81848,486752,17.6,84762,481956
"서울특별시",서초구,9.6,41649,435044,10.1,44554,441763,10.5,47346,449678,11.0,49171,446764,11.4,50906,447192,12.0,53119,441102,12.6,54663,433951,13.2,57036,430826,14.1,60072,425126,14.7,60574,412279,15.4,62228,404325,16.1,65541,407664
"서울특별시",강남구,8.9,50206,564197,9.5,53300,563599,9.9,57291,578114,10.4,60191,576495,10.9,61822,567115,11.7,64946,556164,12.3,66957,542364,13.0,70896,545169,13.9,74959,539231,14.6,78078,533042,15.4,81564,529102,15.9,86434,544873
