사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2012010100100014,2012년 1월 1일 00시,일요일,경상북도 경주시 동천동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,49세,경상
2012010100100015,2012년 1월 1일 00시,일요일,경상북도 김천시 삼락동,중상사고,0,1,2,0,차대차 - 측면직각충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,승용,여,47세,중상
2012010100100016,2012년 1월 1일 00시,일요일,경상북도 칠곡군 왜관읍,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,36세,경상,,,,
2012010100100017,2012년 1월 1일 00시,일요일,경상북도 구미시 도량동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,22세,상해없음,승용,남,48세,상해없음
2012010100100036,2012년 1월 1일 01시,일요일,경상북도 포항시 북구 여천동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,여,46세,경상
2012010100100037,2012년 1월 1일 01시,일요일,경상북도 안동시 광석동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,38세,상해없음,이륜,남,22세,경상
2012010100100065,2012년 1월 1일 02시,일요일,경상북도 김천시 성내동,경상사고,0,0,3,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,승용,남,29세,경상
2012010100100066,2012년 1월 1일 02시,일요일,경상북도 구미시 인의동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,승용,남,57세,경상
2012010100100081,2012년 1월 1일 03시,일요일,경상북도 포항시 북구 청하면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,34세,상해없음,이륜,남,23세,경상
2012010100100082,2012년 1월 1일 03시,일요일,경상북도 의성군 의성읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,19세,상해없음,보행자,여,17세,경상
2012010100100083,2012년 1월 1일 03시,일요일,경상북도 예천군 풍양면,사망사고,1,0,0,0,차량단독 - 도로외이탈 - 추락,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,사망,,,,
2012010100100099,2012년 1월 1일 04시,일요일,경상북도 경산시 압량면,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,41세,사망,,,,
2012010100100100,2012년 1월 1일 04시,일요일,경상북도 구미시 황상동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,23세,상해없음,보행자,여,17세,경상
2012010100100116,2012년 1월 1일 05시,일요일,경상북도 군위군 군위읍,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,45세,중상,,,,
2012010100100136,2012년 1월 1일 06시,일요일,경상북도 경주시 양북면,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,34세,상해없음
2012010100100137,2012년 1월 1일 06시,일요일,경상북도 포항시 북구 죽도동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,승용,남,43세,경상
2012010100100138,2012년 1월 1일 06시,일요일,경상북도 포항시 남구 오천읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,보행자,남,55세,중상
2012010100100151,2012년 1월 1일 07시,일요일,경상북도 포항시 남구 상도동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,승용,남,27세,경상
2012010100100195,2012년 1월 1일 10시,일요일,경상북도 김천시 부곡동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,남,56세,상해없음,이륜,남,36세,경상
2012010100100211,2012년 1월 1일 11시,일요일,경상북도 경주시 율동,경상사고,0,0,2,0,차대차 - 측면직각충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승용,남,48세,경상
2012010100100225,2012년 1월 1일 12시,일요일,경상북도 경산시 옥산동,경상사고,0,0,4,0,차대차 - 측면직각충돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,18세,상해없음,승용,여,49세,경상
2012010100100226,2012년 1월 1일 12시,일요일,경상북도 경산시 임당동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,여,47세,경상
2012010100100227,2012년 1월 1일 12시,일요일,경상북도 울진군 죽변면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,화물,남,25세,상해없음,보행자,남,56세,경상
2012010100100247,2012년 1월 1일 13시,일요일,경상북도 경주시 구황동,중상사고,0,2,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,19세,중상,,,,
2012010100100248,2012년 1월 1일 13시,일요일,경상북도 경주시 천북면,중상사고,0,6,0,0,차대차 - 측면직각충돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,29세,중상,승용,남,59세,중상
2012010100100272,2012년 1월 1일 14시,일요일,경상북도 김천시 신음동,중상사고,0,1,0,0,차대차 - 측면직각충돌,교차로운행방법위반,습기,눈,교차로 - 교차로안,승용,남,57세,상해없음,이륜,남,45세,중상
2012010100100273,2012년 1월 1일 14시,일요일,경상북도 상주시 모서면,중상사고,0,1,5,0,차대차 - 정면충돌,중앙선침범,습기,눈,단일로 - 기타,승용,여,51세,상해없음,승용,남,32세,경상
2012010100100274,2012년 1월 1일 14시,일요일,경상북도 의성군 봉양면,중상사고,0,1,2,0,차대차 - 측면직각충돌,신호위반,습기,흐림,교차로 - 교차로안,승용,남,74세,경상,승용,여,68세,중상
2012010100100299,2012년 1월 1일 15시,일요일,경상북도 경주시 양북면,경상사고,0,0,1,0,차대차 - 측면직각충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,48세,경상
2012010100100300,2012년 1월 1일 15시,일요일,경상북도 경주시 배반동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,여,43세,경상
